编号,姓名,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
1,何辉斌,男,21,3.999697123701917,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
2,苗珍,女,21,3.995017646658156,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,华彪光,男,20,3.9861006028361903,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,赵广善,男,21,3.9764112166985015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,秦心全,男,20,3.9012155647588376,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,何丽英,女,20,3.890534232105094,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
7,东方梅蓉,女,20,3.863934620129349,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,何淑,女,22,3.859773513900727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,曹时福,男,21,3.80936403332647,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,张希毓,女,22,3.7732986693508357,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,严弘峰,男,20,3.7726989183142337,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,史媛荔,女,20,3.771358412939826,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,严玲,女,22,3.763710724889407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,冯旭,男,21,3.728637798342901,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,施琛炎,男,20,3.7160504926415547,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,唐明,男,21,3.6641947560804056,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,窦薇,女,22,3.651296813201406,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,褚宁菁,女,22,3.6066536717591697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,李龙鸣,男,22,3.5593790842059674,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,苏俊,男,20,3.5475517810605584,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,花云姣,女,20,3.51801930553161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,周文,男,22,3.508452143852325,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,蒋学,男,20,3.487763274571531,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,陶弘波,男,21,3.4841796637681566,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,陶栋哲,男,22,3.47988001039644,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,王凡希,女,20,3.4684064376753745,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,严晨,男,22,3.4468161521165683,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,张策乐,男,20,3.4336433375873447,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
29,施娟珠,女,22,3.3975060618025394,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,孙眉婷,女,22,3.3780079721051663,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,严蓉蓓,女,22,3.357146331395721,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
32,苏茗筠,女,21,3.330252267189005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
33,凤琴英,女,21,3.307633018118329,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,秦卿,女,21,3.296488118550047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,花媛荣,女,21,3.228555483036924,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
36,夏侯绍永,男,22,3.214399731964617,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,华眉霄,女,20,3.1426408658723766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,袁艺璧,女,20,3.133790350027404,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
