编号,姓名,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
1,魏婵珍,女,21,3.998484041023626,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,苏伦维,男,20,3.9812441900529096,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,吴珊园,女,22,3.933383460808043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,俞腾真,男,20,3.866227128363915,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,王裕学,男,21,3.865375291959676,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,尉迟欢,女,21,3.859018633782811,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,金雪婷,女,20,3.826587773758175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,严茗梅,女,21,3.7969454980783945,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,唐梁松,男,22,3.667397569456419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,葛昌保,男,22,3.664975120707539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,花芳,女,21,3.663168753033439,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,苗枫,女,22,3.635850626715829,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
13,张凝莲,女,22,3.6228905852772897,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,施洁雅,女,21,3.6171982884068656,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,俞泽歌,男,20,3.5882764921329677,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,王武,男,20,3.5609119023193605,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,凤康武,男,22,3.521587520109801,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,严荔菁,女,22,3.5019658952710966,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,尤苑馥,女,21,3.455082943929015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,戚纨莉,女,20,3.451315733621792,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,方娣,女,21,3.428691788357155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,韩辉,男,21,3.4208718993909146,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
23,俞珊静,女,21,3.3861274795953764,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,何学,男,21,3.3776223905279705,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,鲍龙亨,男,21,3.341669483053765,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,潘生全,男,21,3.341137107657151,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
27,华洁晶,女,21,3.3388914123971585,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,张娟冰,女,20,3.337145863815142,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,邹钧明,男,21,3.334413278154458,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,孔诚行,男,20,3.246797271665005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
31,卫璐梅,女,22,3.2411586639939793,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,戚真颖,女,21,3.213163465710835,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,陶锦宜,女,22,3.2126642210308614,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,昌明行,男,21,3.185947941756768,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,鲍安雄,男,21,3.153220387795204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,朱丹玉,女,20,3.14948227680527,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,杨保士,男,22,3.1412102544144647,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,马飘,女,20,3.07155711017988,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,郎安先,男,22,3.047517873660758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
40,吴仁克,男,21,3.0278248921579864,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,李策,男,20,3.0277579347811256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
42,韦秀萍,女,21,3.002399541186345,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,钱永康,男,21,2.9918682997967703,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,赵芬丹,女,20,2.9233382529746272,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,韩伦,男,20,2.8980887868301877,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,潘融昭,女,20,2.8835393949353882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,韩秀月,女,20,2.862034810818427,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
48,俞瑞,女,20,2.836999669904313,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,冯学超,男,20,2.833243706922563,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,沈轮,男,20,2.819970984135107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
51,朱俊,男,21,2.7670238003584267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,朱鸣利,男,22,2.7422053274635667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,鲍庆翔,男,22,2.741713074144429,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
54,许世榕,男,20,2.7353888915349964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,褚善,男,20,2.718304777408811,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
56,郑佳黛,女,21,2.707920992471097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,许兰聪,女,22,2.687957630560798,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
58,昌榕发,男,21,2.678208148204722,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
59,鲍希琦,女,22,2.672472916901221,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,金娟华,女,22,2.638680748386535,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
61,张朋,男,22,2.6316878109071578,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,理塘丹,女,20,2.6293816371055128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,尤晶,女,20,2.6165681277771493,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,章枫,女,20,2.6048444417560424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,方哲固,男,22,2.581750146892678,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
66,王贞璧,女,20,2.5401728477831997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,韩朋以,男,22,2.510785535081825,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
68,吴昭,女,20,2.502380120710547,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,吕心轮,男,20,2.5006062117648247,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
70,凤霭琬,女,21,2.497281174136446,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
71,鲍海,男,21,2.4922794110629214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,王东时,男,21,2.465981769902177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,郎雁,女,22,2.4451743512271458,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,鲁琴毓,女,22,2.428935048997465,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
75,彭玲玲,女,22,2.4275366796138753,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
76,张姬,女,21,2.3953250106338118,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
77,苏嘉,女,21,2.3471204005276043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,周荷丹,女,21,2.305721864171229,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,鲁中,男,20,2.2825920510282502,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
80,施全先,男,22,2.2636558157921427,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,王琳,女,20,2.2178435831106045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,苗航子,男,20,2.2036150839311723,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
83,章旭,男,20,2.1887977566500267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
84,金兴信,男,21,2.177212874290545,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
85,司马斌,男,20,2.174212114317527,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,窦福武,男,20,2.155920705891127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,姜彪真,男,22,2.149757396998047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,何欢倩,女,20,2.1057570418858536,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
89,任轮泰,男,20,2.0803097857994546,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
90,孙彪朋,男,21,2.065593536625414,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
