编号,姓名,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
1,孔康盛,男,20,3.9380649993995362,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,任青佳,女,21,3.935832829854865,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,何真永,男,21,3.9046992975231896,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,袁琰园,女,20,3.8395703689923923,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,韦珊育,女,20,3.839548075571596,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,韦哲凯,男,22,3.8341016754893276,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,俞芝,女,22,3.825847331521837,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,韩祥亨,男,21,3.825382136017142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,云丹聪,女,21,3.774121866517448,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
10,章芳桂,女,21,3.7656174036307597,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
11,马凤惠,女,21,3.6655685007664163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,马哲鸣,男,20,3.6637666601153613,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
13,秦丽,女,22,3.6464992151423736,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,金静,女,20,3.62420505309427,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,张保国,男,20,3.613956051186882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,周诚钧,男,21,3.6111919288576813,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,许芸,女,21,3.585459758148207,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
18,金亮,男,20,3.573048748967592,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,陶璐,女,20,3.5409740233962346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,何言,男,21,3.5347844595822036,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
21,孙蓓欢,女,20,3.5277261902851302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,曹兴弘,男,22,3.5129357347455406,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
23,何裕祥,男,20,3.47287927826907,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,谢文心,男,21,3.460819487616741,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,魏岚爱,女,22,3.454978489400646,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,吕中固,男,22,3.4419408619272875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,李纨颖,女,21,3.3969654537506964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,钱伊,女,22,3.381166658107177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
29,许思丁,男,21,3.3587280300588507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,陈国,男,21,3.3428786845770584,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,昌娟,女,22,3.332081230327963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,潘器河,男,21,3.300049996353084,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,许黛秀,女,22,3.2884410006008795,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,褚莲香,女,21,3.2609337482598963,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
35,俞美红,女,20,3.2046602693091226,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,袁宜,女,22,3.153493567815339,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,鲁鹏进,男,21,3.0974011863893347,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
38,郑婕,女,21,3.095514958674081,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,褚弘弘,男,21,3.081011418304609,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,柳晶玉,女,21,3.0809250921843834,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,尤武富,男,20,3.055427452307823,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,方楠榕,男,22,3.053429483141307,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
43,王绍翰,男,20,3.006634232687866,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,秦娟蓓,女,20,2.990214064712728,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,尤鹏,男,20,2.964864539783395,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,韩子,男,21,2.9385671335126062,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,苗嘉,女,20,2.9349575846288163,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,方勇启,男,22,2.93096757372993,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
