编号,姓名,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
1,王泽毅,男,22,3.9767215738875565,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2,方爽亚,女,22,3.917013507948256,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,金聪,女,21,3.9098968394379545,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,杨玲琳,女,20,3.8993867994996156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,凤鸣泰,男,21,3.8700031195515683,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,云克志,男,21,3.8429906394474638,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,凤希娴,女,22,3.8308573678819737,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,范飘,女,22,3.8254951843454945,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
9,郎涛子,男,22,3.8023777209799356,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
10,沈德,男,21,3.789441747613946,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,尤会涛,男,21,3.785228618639862,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,钱育翠,女,22,3.740110575750628,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,秦姣珍,女,20,3.6904359482201095,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,郎岚纯,女,22,3.640327670589656,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,诸葛育寒,女,20,3.6315012945185345,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
16,褚伯家,男,21,3.5144599235021676,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,钱婷琴,女,22,3.441578311777821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,李盛子,男,22,3.43397915452947,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,鲍锦姣,女,20,3.420024123343702,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,司马玲,女,22,3.400837932286522,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,昌晶,女,22,3.3994959293846465,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,沈江克,男,20,3.3970693939724965,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,何心,男,22,3.373024705153471,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,彭思天,男,20,3.346796438186419,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,柳芝,女,22,3.3391005260269155,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
26,李素琬,女,22,3.318787330015925,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,褚宜颖,女,21,3.296671050043421,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,章以,男,22,3.2945637721346,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
29,彭成国,男,21,3.29363067396744,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
30,柳颖枝,女,22,3.2039979169754473,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,东方琳秀,女,22,3.1868371829807067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,韩嘉,女,22,3.186269120612258,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,范凤柔,女,20,3.181946411883978,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,韩震,男,22,3.152816708779258,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,严寒霄,女,21,3.151688516399175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,章冰,女,20,3.1366566473412236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,姜芝苑,女,21,3.1327378271124755,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,苏翰雄,男,22,3.1041259933940313,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,钱娜梅,女,21,3.0882835547564595,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,吕月,女,22,3.0798619968140803,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,苏邦,男,22,3.025258630561739,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
42,章丁伦,男,20,2.9794787221525123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
43,褚彩露,女,20,2.9747664898395922,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
44,韩琰玉,女,21,2.936190376869854,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,魏栋,男,20,2.921057423517227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,范飘融,女,20,2.8783160094061895,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,魏振,男,20,2.8611461115144445,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
48,柳翠娣,女,22,2.8298485565169265,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,陶枝菊,女,20,2.7799625505624466,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,曹玲青,女,22,2.7694652887082105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,史克文,男,22,2.757876715705498,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,司马航,男,21,2.7561498176648773,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
53,沈欢妍,女,22,2.7220220755952664,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
54,范松先,男,21,2.6981013468877793,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,金娅婷,女,21,2.6829630632918513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,鲍嘉娜,女,21,2.678622333586727,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,韩莉琦,女,20,2.669904057237145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
