编号,姓名,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
1,俞飞,男,20,3.988776974327781,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1
2,戚仪,女,22,3.9656089040686484,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,鲁芝悦,女,22,3.91163452017053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,沈茗,女,20,3.905818119284398,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,郎达,男,20,3.8488226489209407,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,潘政清,男,21,3.8145946597521574,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,吕露,女,22,3.80430046109505,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,孙艳,女,22,3.7884009392814293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,柳山毅,男,20,3.7574701105494035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,理塘昌天,男,20,3.699139491402388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,施兰霄,女,22,3.6896948501099733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
12,昌广,男,21,3.6817940011029107,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,昌珠咏,女,21,3.6790426957657196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,赵贵友,男,22,3.678733903538502,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,金宜,女,20,3.6785027771036214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,张功博,男,21,3.6746608763757735,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,吴俊浩,男,21,3.672941537532692,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,万俟亚卿,女,20,3.656938878553958,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
19,卫悦颖,女,21,3.644292863516104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,陈婷,女,21,3.606464060074167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,任香叶,女,20,3.5653764741072003,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
22,王壮,男,21,3.525812099552372,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,鲁亚,女,20,3.5170975007966874,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,郎腾,男,20,3.512530896121964,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
25,苗龙兴,男,21,3.5080401558696206,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
