编号,姓名,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
1,褚世谦,男,21,3.9919984462861677,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,韩绍朗,男,20,3.8765191365961202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,邹颖彩,女,21,3.849423306830885,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
4,韦辰,男,22,3.842099800560302,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
5,史婷勤,女,22,3.812496073168915,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,柳瑗晶,女,22,3.792214005701492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,沈飞行,男,21,3.765139639876594,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,华飞谦,男,21,3.7471899452309683,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,唐苑,女,22,3.721829939650103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,孙卿倩,女,21,3.6836518208314573,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,苏凝,女,21,3.6686549996097817,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,施媛,女,21,3.6564652818577477,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,云卿琬,女,22,3.6512126764204327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,袁荷欣,女,20,3.6262832795372426,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
15,钱华荣,女,21,3.6161347018298375,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
16,尤智心,男,20,3.6085378081667816,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,蒋洁,女,20,3.5993626986673277,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
18,袁蓉欢,女,20,3.5252591230767045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,葛爱霞,女,20,3.519669007128022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,范美凡,女,20,3.4958759354589937,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,杨辉亨,男,22,3.4765316044204315,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,葛蓉,女,22,3.407692430389374,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,李富博,男,22,3.4033956072162814,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,戚美筠,女,21,3.3804880251884137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
