编号,姓名,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
1,韦蓓娅,女,22,3.9995252637982825,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2,柳玲,女,21,3.9763157935780176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,章宏,男,22,3.9457100809022627,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,吕中,男,20,3.9389154249496383,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
5,戚昭,女,21,3.879178903014519,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
6,华毅达,男,22,3.877731829330042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,金友,男,20,3.861945148012953,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,邹凯民,男,21,3.8575805037163287,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
9,张奇义,男,21,3.851442063170466,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,任玉莺,女,20,3.831263445104748,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
11,方园瑞,女,22,3.8237773992124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,曹弘有,男,22,3.81621674460129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,陈刚新,男,22,3.7961723484987546,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,史新,男,20,3.7868096222528145,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,尤风强,男,20,3.7841930620415685,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,柳蓉君,女,20,3.773644976400526,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,潘庆士,男,21,3.7385689767593777,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,孔娴希,女,22,3.730618499578237,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
19,周倩,女,21,3.650961936343393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,凤宏之,男,22,3.648871109132445,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,东方茂,男,20,3.6292486409135147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,许香,女,21,3.620413534705294,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,韦慧香,女,20,3.554896489393111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,孔霞茗,女,22,3.541520334931291,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,苏富伦,男,21,3.511303843173132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,姜晓怡,女,21,3.487327509599843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,韦厚器,男,22,3.4822575534827465,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,章菁媛,女,21,3.4800653372740094,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,朱月柔,女,20,3.4668324935552057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,华瑶香,女,21,3.462173646824648,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,史鸣,男,20,3.448716918852071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,郑若政,男,20,3.428571260408287,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,马寒怡,女,20,3.415864685752651,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
34,魏蓓,女,21,3.380724458272258,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,鲍岩晨,男,20,3.2651951667846983,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,姜羽娟,女,20,3.247348362764113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,邹蓓韵,女,20,3.2394850496761602,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,严昌,男,21,3.2138912572875986,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,昌国茂,男,21,3.187765181127459,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,杨雁滢,女,21,3.1615975185370075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,昌颖青,女,20,3.1018009349671543,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,马姣芸,女,21,3.05338475344782,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,方兴凯,男,21,3.0382768337788955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,吴萍珍,女,20,3.035914930380522,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,俞发和,男,20,3.027225434610645,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,金勤思,女,21,3.0071401060678737,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,孔轮振,男,22,3.0065109842155078,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,孔琳娟,女,21,2.977432844377147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
