编号,姓名,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
1,魏心顺,男,21,3.994768041137795,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,彭茂朗,男,21,3.9859470295100596,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
3,姜蓉荷,女,22,3.978041340287933,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,方菲仪,女,20,3.9371126592490833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,邹亮,男,21,3.934192633221885,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,葛巧韵,女,20,3.9274781318794556,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,李荣英,女,22,3.847173918335031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,孔顺新,男,20,3.838710005609628,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
9,周素秀,女,20,3.7497138572221846,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,唐婵娥,女,21,3.748365803977695,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,金凝婕,女,22,3.733364094277121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,窦蕊,女,22,3.6964087729840065,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
13,李芸琳,女,20,3.687624075058176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,鲁茂健,男,22,3.6708237558862766,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
15,昌仁琛,男,20,3.656187665517678,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,陶瑗,女,20,3.6502338116531465,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
17,卫震,男,21,3.5775465463468485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,姜婕荣,女,22,3.5753363167642913,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
19,史月,女,20,3.5424336869050865,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,章保义,男,20,3.4741907279710835,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,李钧,男,21,3.4662285059570928,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,魏鸣奇,男,20,3.461048763753106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,严良仁,男,20,3.411264987142288,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
24,柳泰,男,21,3.3952128181112897,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
25,吴友进,男,22,3.391548394466147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,戚秋艳,女,20,3.3818324418143533,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,吕天义,男,21,3.381755233485329,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
28,魏芝宁,女,22,3.360123944577826,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,何发,男,21,3.334174286146933,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,魏礼清,男,21,3.3142967304450734,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
